country,url,output_name,auto
BR,https://raw.githubusercontent.com/wcota/covid19br/master/cases-brazil-cities-time.csv.gz,cases-brazil-cities-time.csv.gz,T
BR,https://raw.githubusercontent.com/wcota/covid19br/master/cases-brazil-states.csv,brazil_state_tmp.csv,T
MX,http://datosabiertos.salud.gob.mx/gobmx/salud/datos_abiertos/datos_abiertos_covid19.zip,mx_mun_cases_tmp.csv,T
CL,https://raw.githubusercontent.com/MinCiencia/Datos-COVID19/master/output/producto1/Covid-19.csv,chile_raw_counts_tmp.csv,T
CL,https://github.com/MinCiencia/Datos-COVID19/raw/master/output/producto55/Positividad_por_comuna.csv,chile_raw_tests_tmp.csv,T
CL,https://github.com/MinCiencia/Datos-COVID19/raw/master/output/producto38/CasosFallecidosPorComuna_std.csv,chile_raw_deaths_tmp.csv,T
CO,https://www.datos.gov.co/api/views/gt2j-8ykr/rows.csv?accessType=DOWNLOAD,colombia_tmp.csv,T
PE,https://cloud.minsa.gob.pe/s/Y8w3wHsEdYQSZRp/download,url_peru_cases_tmp.csv,T
PE,https://cloud.minsa.gob.pe/s/Md37cjXmjT9qYSa/download,url_peru_deaths_tmp.csv,T
AR,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/salud/casos-covid-19/casos_covid19.csv,Covid19Casos.csv,F
AR,https://sisa.msal.gov.ar/datos/descargas/covid-19/files/Covid19Determinaciones.zip,Covid19Determinaciones.csv,F
AR,https://sisa.msal.gov.ar/datos/descargas/covid-19/files/Covid19Casos.zip,argentina_tmp.csv,F
